Component,Eigenvalue,Pct_Variance,Cumulative_Pct
PC1,1.3239950986430205,13.239950986430223,13.239950986430223
PC2,1.1327672617443365,11.327672617443381,24.567623603873606
PC3,1.0987497924900549,10.987497924900564,35.555121528774166
PC4,1.0541395416771802,10.541395416771817,46.096516945545986
PC5,1.0077645852373855,10.07764585237387,56.174162797919855
PC6,0.9819647368917681,9.819647368917694,65.99381016683755
PC7,0.9402385440176939,9.402385440176953,75.3961956070145
PC8,0.907553405964713,9.075534059647143,84.47172966666164
PC9,0.857546419958354,8.575464199583552,93.0471938662452
PC10,0.6952806133754795,6.952806133754804,100
